Month,Column,ADF Statistic,p-value,Critical Value (1%),Critical Value (5%),Critical Value (10%)
1,SPX Index ,-2.1098025183454467,0.24059127232554295,-4.068853732362312,-3.1271488757396453,-2.7017297633136095
1,VIX Index  (L1),-3.0773452854621235,0.028275802413849836,-3.8326031418574136,-3.0312271701414204,-2.655519584487535
1,Freddie Mac 30 Year Mortgage Rate,-3.818299905953185,0.002725535542054717,-4.137829282407408,-3.1549724074074077,-2.7144769444444443
1,U.S. 5-year Treasury constant maturity rate,-1.855634329482506,0.3532110897934956,-3.8326031418574136,-3.0312271701414204,-2.655519584487535
1,CDX HY Spread,-0.6568109966646849,0.8576216364575703,-4.068853732362312,-3.1271488757396453,-2.7017297633136095
1,CDX IG Spread,-1.736680651680047,0.41231942730621374,-3.8326031418574136,-3.0312271701414204,-2.655519584487535
2,SPX Index ,4.6614133220654725,1.0,-4.9386902332361515,-3.477582857142857,-2.8438679591836733
2,VIX Index  (L1),-5.948615118664995,2.1739767232485926e-07,-4.9386902332361515,-3.477582857142857,-2.8438679591836733
2,Freddie Mac 30 Year Mortgage Rate,7.862098667810698,1.0,-4.9386902332361515,-3.477582857142857,-2.8438679591836733
2,U.S. 5-year Treasury constant maturity rate,-0.11753499470250982,0.9476637290880944,-4.223238279489106,-3.189368925619835,-2.729839421487603
2,CDX HY Spread,-0.963461888905607,0.7663564534412061,-4.9386902332361515,-3.477582857142857,-2.8438679591836733
2,CDX IG Spread,-3.620667900647206,0.005377975301494345,-4.9386902332361515,-3.477582857142857,-2.8438679591836733
